//	GAMMASPHERE CONFIGURATION FILE FOR GSFMA305
//	1st column: detector number
//	2nd column: ring
//	3rd column: theta
//	4th column: phi
//	5th column: side channel gain, calibrating to keV (2.5 by default)
//	6th column: side channel offset, calibrating to keV (0.0 default)
//	7th column: side chan threshhold (kev). Use 4000 for dets w/o side chan
//	8th column: time positions 1 (divided by 2)
//	9th column: time positions 2 (divided by 2)
//
//	First 20 lines reserved for comments.
//	Do not change this!
//
//	(Extra comments can be added here.)
//
//
//
//
//
 81  13    121.72       108.0	 2.51559500	-2.509        88.05	2002.0000	2372.0000
 82  12    110.18       342.5	 0.000	     	 0.000      4000.00	2001.0000	2365.0000
 83  13    121.72       180.0	 2.52805864	-9.234        84.30	2002.0000	2374.0000
 84  13    121.72       252.0	 2.50480058	-2.537        92.65	2001.0000	2364.0000
 85  14    129.93        13.2	 2.50366361	-3.180        84.45	2001.0000	2364.0000
 86  13    121.72       324.0	 2.49784904	-1.481        95.94	2002.0000	2364.0000
 87  14    129.93        58.8	 0.000	     	 0.000      4000.00	2002.0000	2362.0000
 88  14    129.93       202.8	 2.53944150	-14.077       72.26 	2001.0000	2368.0000
 89  14    129.93        85.2    0.000       	 0.000      4000.00  	2001.0000    	2366.0000  
 90  14    129.93       229.2    0.000       	 0.000      4000.00  	2001.0000    	2366.0000   
 91  14    129.93       130.8    0.000       	 0.000      4000.00  	2002.0000 	2368.0000
 92  14    129.93       274.8    2.48857817 	 3.517	      98.08	2001.0000    	2368.0000   
 93  14    129.93       157.2    0.000       	 0.000      4000.00  	2001.0000   	2368.0000   
 94  14    129.93       301.2    0.000       	 0.000      4000.00  	2001.0000    	2364.0000   
 95  15    142.62        36.0    0.000       	 0.000      4000.00  	2001.0000    	2369.0000
 96  14    129.93       346.8    0.000       	 0.000      4000.00  	2001.5000    	2365.0000  
 97  15    142.62       108.0    0.000       	 0.000      4000.00  	2001.0000    	2372.0000   
 98  15    142.62       252.0    0.000       	 0.000      4000.00  	2001.0000    	2361.0000   
 99  15    142.62       180.0    0.000       	 0.000      4000.00  	2002.0000   	2362.0000  
100  15    142.62       324.0    0.000       	 0.000      4000.00  	2002.0000    	2364.0000   
101  16    148.28        72.0    0.000       	 0.000      4000.00  	2003.0000    	2377.0000   
102  16    148.28       216.0    0.000       	 0.000      4000.00  	2001.0000    	2366.0000   
103  16    148.28       144.0    0.000       	 0.000      4000.00  	2000.5000    	2369.0000   
104  16    148.28       288.0    0.000       	 0.000      4000.00  	2001.0000    	2373.0000   
105  17    162.73        36.0    0.000       	 0.000      4000.00  	2004.0000    	2376.0000   
106  16    148.28       360.0    0.000       	 0.000      4000.00  	2001.0000    	2370.0000   
107  17    162.73       108.0    0.000       	 0.000      4000.00  	2001.0000    	2375.0000   
108  17    162.73       252.0    0.000       	 0.000      4000.00  	2001.0000    	2376.0000  
109  17    162.73       180.0    0.000       	 0.000      4000.00  	2222.2222    	2500.2222   
110  17    162.73       324.0    0.000       	 0.000      4000.00  	2001.0000    	2738.0000  

